"Gene stable ID","Strand","Gene end (bp)","Gene start (bp)","Chromosome/scaffold name","Gene name"
"ENSG00000198888",1,4262,3307,"MT","MT-ND1"
"ENSG00000198763",1,5511,4470,"MT","MT-ND2"
"ENSG00000198804",1,7445,5904,"MT","MT-CO1"
"ENSG00000198712",1,8269,7586,"MT","MT-CO2"
"ENSG00000228253",1,8572,8366,"MT","MT-ATP8"
"ENSG00000198899",1,9207,8527,"MT","MT-ATP6"
"ENSG00000198938",1,9990,9207,"MT","MT-CO3"
"ENSG00000198840",1,10404,10059,"MT","MT-ND3"
"ENSG00000212907",1,10766,10470,"MT","MT-ND4L"
"ENSG00000198886",1,12137,10760,"MT","MT-ND4"
"ENSG00000198786",1,14148,12337,"MT","MT-ND5"
"ENSG00000198695",-1,14673,14149,"MT","MT-ND6"
"ENSG00000198727",1,15887,14747,"MT","MT-CYB"
"ENSG00000277953",1,54131896,54115536,"CHR_HSCHR19LRC_LRC_T_CTG3_1","AC012314.16"
"ENSG00000277836",1,1271271,1270984,"KI270728.1","AC141272.1"
"ENSG00000278817",1,137392,131494,"KI270734.1","AC007325.4"
"ENSG00000257215",1,31217512,31215489,"CHR_HSCHR6_MHC_MANN_CTG1","CR847794.2"
"ENSG00000204805",1,61863200,61861625,"9","AL391987.2"
"ENSG00000282035",-1,11846845,11844908,"CHR_HSCHR3_1_CTG1","AC090958.4"
"ENSG00000273896",1,54195141,54190866,"CHR_HSCHR19LRC_LRC_T_CTG3_1","TSEN34"
"ENSG00000281022",-1,133348279,133338460,"CHR_HG2030_PATCH","MED22"
"ENSG00000274053",1,54650873,54643934,"CHR_HSCHR19LRC_PGF2_CTG3_1","NCR1"
"ENSG00000273506",1,54918698,54911759,"CHR_HSCHR19LRC_LRC_I_CTG3_1","NCR1"
"ENSG00000277667",-1,54173691,54160649,"CHR_HSCHR19LRC_LRC_T_CTG3_1","AC012314.14"
"ENSG00000278704",-1,58376,56140,"GL000009.2","BX004987.1"
"ENSG00000275746",1,31529455,31478417,"CHR_HSCHR15_4_CTG8","KLF13"
"ENSG00000278782",1,1240349,1157687,"KI270728.1","AC136616.3"
"ENSG00000277733",-1,54190480,54173854,"CHR_HSCHR19LRC_LRC_S_CTG3_1","MBOAT7"
"ENSG00000278363",-1,54173691,54160649,"CHR_HSCHR19LRC_PGF2_CTG3_1","AC012314.18"
"ENSG00000286094",-1,766919,716808,"5","AC026740.3"
"ENSG00000276017",1,74814,72411,"KI270734.1","AC007325.1"
"ENSG00000275917",-1,30544252,30511927,"CHR_HSCHR15_4_CTG8","CHRFAM7A"
"ENSG00000277923",-1,54190480,54173854,"CHR_HSCHR19LRC_LRC_T_CTG3_1","MBOAT7"
"ENSG00000280584",-1,133209250,133205277,"CHR_HG2030_PATCH","OBP2B"
"ENSG00000276628",-1,54160192,54156127,"CHR_HSCHR19LRC_LRC_I_CTG3_1","LENG1"
"ENSG00000275049",-1,82412947,82403250,"CHR_HSCHR15_5_CTG8","AC011295.2"
"ENSG00000143954",1,79028505,79025686,"2","REG3G"
"ENSG00000109107",-1,28576948,28573115,"17","ALDOC"
"ENSG00000114735",1,50596168,50569152,"3","HEMK1"
"ENSG00000145107",-1,196338503,196319342,"3","TM4SF19"
"ENSG00000140285",1,49488775,49423178,"15","FGF7"
"ENSG00000104472",1,140517154,140511311,"8","CHRAC1"
"ENSG00000118496",-1,145814795,145793502,"6","FBXO30"
"ENSG00000116996",-1,237890922,237877864,"1","ZP4"
"ENSG00000134545",-1,10454685,10442264,"12","KLRC1"
"ENSG00000274609",1,54744515,54733566,"CHR_HSCHR19LRC_PGF1_CTG3_1","KIR2DL4"
"ENSG00000276739",1,54874788,54857994,"CHR_HSCHR19LRC_LRC_S_CTG3_1","KIR3DL2"
"ENSG00000108984",1,69553865,69414697,"17","MAP2K6"
"ENSG00000213123",-1,196318299,196291219,"3","TCTEX1D2"
"ENSG00000177469",-1,42423256,42402449,"17","CAVIN1"
"ENSG00000157765",1,25678748,25648011,"4","SLC34A2"
"ENSG00000159259",1,36419015,36385392,"21","CHAF1B"
"ENSG00000103876",1,80186946,80152490,"15","FAH"
"ENSG00000089157",-1,120201235,120196699,"12","RPLP0"
"ENSG00000270188",-1,237945275,237943724,"1","MTRNR2L11"
"ENSG00000242389",-1,21918067,21903618,"Y","RBMY1E"
"ENSG00000149548",1,125041489,124954121,"11","CCDC15"
"ENSG00000276634",1,54778593,54762712,"CHR_HSCHR19LRC_PGF1_CTG3_1","KIR2DS4"
"ENSG00000146414",-1,145964423,145864245,"6","SHPRH"
"ENSG00000114547",1,125983454,125969160,"3","ROPN1B"
"ENSG00000274926",1,54714233,54699775,"CHR_HSCHR19LRC_PGF1_CTG3_1","KIR2DL1"
"ENSG00000168748",1,66854153,66844414,"16","CA7"
"ENSG00000116117",1,205620162,204545475,"2","PARD3B"
"ENSG00000159256",1,36386148,36320189,"21","MORC3"
"ENSG00000163312",-1,83455855,83407343,"4","HELQ"
"ENSG00000203685",1,226609230,226548764,"1","STUM"
"ENSG00000161217",-1,196287957,196214222,"3","PCYT1A"
"ENSG00000274933",-1,36264553,36253456,"17","TBC1D3I"
"ENSG00000153976",-1,13601929,13494032,"17","HS3ST3A1"
"ENSG00000111325",1,122980043,122974580,"12","OGFOD2"
"ENSG00000172478",-1,240896889,240886048,"2","MAB21L4"
"ENSG00000114021",1,100361635,100334739,"3","NIT2"
"ENSG00000143772",-1,226739323,226631690,"1","ITPKB"
"ENSG00000122257",1,24572863,24537693,"16","RBBP6"
"ENSG00000163947",-1,57079329,56727418,"3","ARHGEF3"
"ENSG00000172023",-1,79088019,79085023,"2","REG1B"
"ENSG00000227600",1,32179650,32160569,"CHR_HSCHR6_MHC_SSTO_CTG1","PPT2"
"ENSG00000265817",-1,94436952,94372170,"8","FSBP"
"ENSG00000197275",-1,94475115,94371960,"8","RAD54B"
"ENSG00000126882",-1,131276510,131258076,"9","FAM78A"
"ENSG00000187151",-1,101916522,101890674,"11","ANGPTL5"
"ENSG00000226321",1,240993311,240906330,"2","CROCC2"
"ENSG00000090402",-1,165078496,164978898,"3","SI"
"ENSG00000110318",1,102001062,101915010,"11","CEP126"
"ENSG00000197563",-1,62187118,61905255,"18","PIGN"
"ENSG00000123612",-1,157628864,157526767,"2","ACVR1C"
"ENSG00000138083",1,44946071,44941702,"2","SIX3"
"ENSG00000244731",1,32002681,31982057,"6","C4A"
"ENSG00000120370",1,170553446,170532129,"1","GORAB"
"ENSG00000105552",-1,48811029,48795062,"19","BCAT2"
"ENSG00000117480",1,46413848,46394317,"1","FAAH"
"ENSG00000172020",1,115721490,115623324,"3","GAP43"
"ENSG00000115568",-1,218659655,218637916,"2","ZNF142"
"ENSG00000011028",1,62693597,62627670,"17","MRC2"
"ENSG00000006695",1,14231736,14069490,"17","COX10"
"ENSG00000198156",-1,28363508,28342555,"16","NPIPB6"
"ENSG00000176170",1,76387860,76376584,"17","SPHK1"
"ENSG00000258472",-1,28614185,28455752,"17","AC005726.1"
"ENSG00000273331",-1,196338373,196316082,"3","TM4SF19-TCTEX1D2"
"ENSG00000142515",1,50860764,50854915,"19","KLK3"
"ENSG00000160307",-1,46605208,46598604,"21","S100B"
"ENSG00000164220",-1,76623413,76615482,"5","F2RL2"
"ENSG00000272741",-1,196318222,196248230,"3","AC069257.4"
"ENSG00000087111",-1,28571794,28553383,"17","PIGS"
"ENSG00000205336",1,57665580,57610652,"16","ADGRG1"
"ENSG00000163959",1,196243178,196211487,"3","SLC51A"
"ENSG00000157978",1,25568886,25543606,"1","LDLRAP1"
"ENSG00000074582",1,218663443,218658764,"2","BCS1L"
"ENSG00000163808",1,44873376,44761721,"3","KIF15"
"ENSG00000146776",-1,105876604,105605067,"7","ATXN7L1"
"ENSG00000114978",-1,74178898,74152528,"2","MOB1A"
"ENSG00000173064",-1,112382439,112160188,"12","HECTD4"
"ENSG00000161542",-1,76384521,76309478,"17","PRPSAP1"
"ENSG00000228859",-1,31704014,31700817,"CHR_HSCHR6_MHC_DBB_CTG1","LY6G6C"
"ENSG00000136960",-1,119673453,119557086,"8","ENPP2"
"ENSG00000076650",1,33130542,33080899,"19","GPATCH1"
"ENSG00000065320",1,9244000,9021510,"17","NTN1"
"ENSG00000121871",-1,165197109,165186720,"3","SLITRK3"
"ENSG00000007216",1,28497781,28473293,"17","SLC13A2"
"ENSG00000224393",1,31708879,31700763,"CHR_HSCHR6_MHC_DBB_CTG1","MPIG6B"
"ENSG00000143801",1,226896105,226870184,"1","PSEN2"
"ENSG00000132600",1,68358563,68310974,"16","PRMT7"
"ENSG00000155099",-1,91040872,90993802,"8","PIP4P2"
"ENSG00000066405",1,138033655,137998735,"3","CLDN18"
"ENSG00000168757",1,6249019,6246223,"Y","TSPY2"
"ENSG00000170577",-1,45009452,45005182,"2","SIX2"
"ENSG00000114200",-1,165837462,165772904,"3","BCHE"
"ENSG00000160539",1,131359022,131289459,"9","PLPP7"
"ENSG00000163960",-1,196432430,196347662,"3","UBXN7"
"ENSG00000044574",-1,125241343,125234853,"9","HSPA5"
